WKT,Name,Beschreibung
"POINT (6.7532519 50.71646)",Node 1,
"POINT (8.7532519 51.71646)",Node 2,
"POINT (8.5211657 52.0343957)",Node 3,
"POINT (7.6038073 51.9633735)",Node 4,
"POINT (7.4774645 51.5280361)",Node 5,
"POINT (7.0050524 51.469902)",Node 6,
"POINT (7.2357653 51.4835873)",Node 7,
"POINT (6.7798327 51.2125422)",Node 8,
"POINT (6.9391345 50.953736)",Node 9,
"POINT (9.4769763 51.3259586)",Node 10,
"POINT (8.1311511 51.2675669)",Node 11,
"POINT (8.7353991 50.8012286)",Node 12,
"POINT (7.0984362 50.7456476)",Node 13,
"POINT (9.735155 52.3811132)",Node 14,
"POINT (8.0487536 52.2837673)",Node 15,
"POINT (7.4005602 52.2736848)",Node 16,
"POINT (9.8999499 51.5553676)",Node 17,
"POINT (8.5046862 51.1953335)",Node 18,
"POINT (8.6694811 50.156294)",Node 19,
"POINT (8.2520007 50.057648)",Node 20,
"POINT (8.6475085 49.8880675)",Node 21,
"POINT (8.4387683 49.5185914)",Node 22,
"POINT (8.3728503 49.0455895)",Node 23,
"POINT (8.6584948 49.3757365)",Node 24,
"POINT (9.2078112 49.1391154)",Node 25,
"POINT (9.9878405 49.7746818)",Node 26,
"POINT (11.009569 50.9796818)",Node 27,
"POINT (11.5918444 50.9381615)",Node 28,
"POINT (9.8779772 50.7091367)",Node 29,
"POINT (10.97661 49.4614994)",Node 30,
"POINT (9.1490867 48.8027772)",Node 31,
"POINT (9.0172508 48.5561435)",Node 32,
"POINT (7.8746727 48.0004738)",Node 33,
"POINT (9.9510887 48.4323736)",Node 34,
"POINT (9.1051414 47.7129792)",Node 35,
"POINT (10.3136375 47.7351508)",Node 36,
"POINT (11.5880516 48.1472887)",Node 37,
"POINT (10.8409813 48.3886179)",Node 38,
"POINT (12.07145 47.8900876)",Node 39,
"POINT (12.1153953 48.5270483)",Node 40,
"POINT (11.4232567 48.7955405)",Node 41,
"POINT (12.0604637 49.0554042)",Node 42,
"POINT (12.9283836 48.8750868)",Node 43,
"POINT (13.3898094 48.6142836)",Node 44,
"POINT (10.0829246 49.3282387)",Node 45,
"POINT (10.1598289 49.2852596)",Node 46,
"POINT (9.9181297 49.1704653)",Node 47,
"POINT (10.5333641 48.9617205)",Node 48,
"POINT (10.5773094 48.8967593)",Node 49,
"POINT (9.9730613 48.9112024)",Node 50,
"POINT (9.8522117 48.882312)",Node 51,
"POINT (10.8629539 49.9613649)",Node 52,
"POINT (11.5770652 50.0249308)",Node 53,
"POINT (9.995034 50.348512)",Node 54,
"POINT (9.7533348 50.1869954)",Node 55,
"POINT (8.8854149 50.6350754)",Node 56,
"POINT (6.6332176 49.7914448)",Node 57,
"POINT (6.9847801 49.2852596)",Node 58,
"POINT (6.9957664 50.3344889)",Node 59,
"POINT (7.1276024 50.3064301)",Node 60,
"POINT (7.6769188 50.788125)",Node 61,
"POINT (7.8417137 50.788125)",Node 62,
"POINT (7.5450828 50.0319885)",Node 63,
"POINT (7.7428367 50.0461008)",Node 64,
"POINT (7.5019826 49.7245895)",Node 65,
"POINT (7.3591604 49.7742797)",Node 66,
"POINT (12.4348293 50.746991)",Node 67,
"POINT (12.8413234 50.8303353)",Node 68,
"POINT (12.3689113 51.3478757)",Node 69,
"POINT (13.7092433 51.0449543)",Node 70,
"POINT (11.9404445 51.5259394)",Node 71,
"POINT (9.4575344 52.1908763)",Node 72,
"POINT (8.7214504 53.0710291)",Node 73,
"POINT (8.1941066 53.1501665)",Node 74,
"POINT (9.4026027 53.5958657)",Node 75,
"POINT (8.5786281 53.5697771)",Node 76,
"POINT (7.2163234 53.3342546)",Node 77,
"POINT (7.6118312 53.4848779)",Node 78,
"POINT (10.0727687 53.589345)",Node 79,
"POINT (9.9738918 54.1013807)",Node 80,
"POINT (10.1277004 54.3710574)",Node 81,
"POINT (10.6880031 53.8623462)",Node 82,
"POINT (10.3913722 53.2817388)",Node 83,
"POINT (11.4460597 53.6479945)",Node 84,
"POINT (11.4570461 53.8882539)",Node 85,
"POINT (12.0832668 54.1142624)",Node 86,
"POINT (10.0727687 52.666492)",Node 87,
"POINT (10.4572902 52.332086)",Node 88,
"POINT (10.7758937 52.4527653)",Node 89,
"POINT (11.5009914 52.1234755)",Node 90,
"POINT (10.9626613 51.7237306)",Node 91,
"POINT (11.7536769 52.0154218)",Node 92,
"POINT (11.7701564 53.00497)",Node 93,
"POINT (13.4181056 52.5664372)",Node 94,
"POINT (13.1324611 52.4393727)",Node 95,
"POINT (13.5169826 52.4259762)",Node 96,
"POINT (13.2862697 52.45946)",Node 97,
"POINT (13.462051 52.325372)",Node 98,
"POINT (14.3629299 51.7577454)",Node 99,
"POINT (13.2313381 51.7509445)",Node 100,
"POINT (11.5724025 52.6131579)",Node 101,
"POINT (12.6820217 53.530614)",Node 102,
"POINT (13.0775295 54.3262336)",Node 103,
"POINT (13.3741603 54.1078221)",Node 104,
"POINT (9.4520412 54.7659375)",Node 105,
"POINT (13.6817775 53.4718014)",Node 106,
"POINT (12.7149742 53.0848023)",Node 107,
